Hazard Leopard Team Member Leading,Phase of Hazards Project,IPCC CID Category for Reference Only,Climate Hazard,Hazard Definition and Climate Change Effects on Drivers,Sector,Project Tags,IPCC CID for Reference Only,Finer Resolution Categories,Climate Variable Categories,Confidence in the Projected Hazard Data,Identified Climate Proxies for this Hazard,Technical Description of the Proxy,What is the Connection Between the Proxy and the Hazard?,What are the Change Dimensions Indicated by the Proxy?,How Well Does the Proxy Represent the Hazard?,What Is the Level of Confidence in the Direction of the Proxy?,What Is the Level of Confidence in the Magnitude of the Proxy? ,,What Is the Data Resolution?,Datasets Technical Documentation,Access to the Data Portal,"Data ""Readiness""",Data Citations,Data Source Evaluation Against CCCS Data Standards,CCCR Link,Overall Trend for the Hazard by 2100,,End-User Type,General Comments,Expert Reviewer,
Hazard Leopard Team Member Leading,Phase of Hazards Project,"IPCC CID Category for Reference only
(7 categories)","Hazard/Impact
What keeps you up at night? What climate opportunities are of interest?","Hazard Definition
- What are the mechanisms/drivers that contribute to a hazard? 
- How will climate change affect the drivers themselves?",Sector,Project Tags,"IPCC CID for reference only
(35 categories)","Finer Resolution Categories 
(if needed)
(35+ categories)","Climate Variable Categories
Ex: Major categories like Air Temp/Ocean temp/Precip/Wind","Climate Variable Category Confidence 
What confidence do we have in the simulation of this climate variable category (Ex. CRBCPI)?","Hazard/Impact Proxies
What could be used as reasonable climate proxies for this hazard/impact? ","Technical Description of Proxy
How the proxy was calculated 
(homogenized syntax for descriptions)","Proxy-Hazard Connection/Importance + Proxy Proximity Narrative
- What part of the hazard is this proxy related to (frequency, intensity, duration)?
- This proxy is useful because X
- Changes mean X
- Narrative related to confidence of direction and magnit","Dimension of Change
Climate change is often considered though changes in frequency, intensity and duration of extreme events, or a mix of these.","Proxy Proximity
How good of a proxy is this for this Hazard/Impact? At this point, this is a gut feeling.","Confidence in Direction of Proxy
How confident are we in the direction of change?","Confidence in Magnitude of Proxy
How confident are we in the magnitudeof change?","Dataset Name
Dataset metadata to be completed in Phase 2 of the project",Dataset Resolution,Dataset Technical Documentation,Data Portals,"Data ""Readiness""",Data Citations,Data Source Evaluation Against CCCS Data Standards,CCCR Link,Overall Trend by 2100,Relevant Literature and Resources,"End-User Type
General Public
Somewhat Experienced
SME/Research",General Comments,Expert Reviewer,Impact Statement for Buildings: 
Jeremy,Phase 1.1,Snow and Ice,Blizzard / Winter storm,"<b> Mechanisms and Drivers </b>
Blizzards are intense winter snowstorms driven by a combination of factors: strong winds, heavy snowfall, and sub-zero temperatures. To support snowfall (rather than rain), temperatures need to remain below freezing, making blizzards a multivariate climate hazard. This hazard therefore depends on the convergence of freezing temperatures, extreme precipitation, and high wind speeds.
<b> Role of Climate Change </b>
Climate change is expected to impact blizzards and winter storms through shifts in snow and wind climate impact drivers, with varied effects depending on the location. In regions where winter temperatures are increasingly fluctuating above and below freezing, there may be a reduction in blizzard frequency, as more winter storms may manifest as rain events. However, in regions with consistently sub-zero temperatures during winter, increased winter precipitation intensity due to a warmer atmosphere could lead to more intense blizzards. This dual trend suggests an overall reduction in blizzard frequency but a potential increase in blizzard intensity for areas remaining below freezing.",General,DST,Heavy snowfall and ice storm,N/A,"Compound event (Air Temperature, Wind, Precipitation (Snow)","Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Total Snowfall,"This proxy represents total snowfall refers to the cumulative amount of snowfall (measured in mm water equivalent) over a specified period. 
Caution Note: Currently, there is no single, compound proxy that adequately captures blizzard dynamics (e.g., snowfall, wind, and ground accumulation). Total Snowfall is a limited proxy, as it does not account for snow accumulation or wind intensity – key elements in defining a blizzard. Given its limitations as a standalone indicator, use this data with high caution when assessing blizzard potential in a warming climate.",,"Frequency, Intensity, Duration",Poor,Poor,Low,n/a,n/a,n/a,"To access future climate projections for this proxy, refer to available resources such as:
ClimateData.ca – Provides access to climate projection datasets for Canada.
Canada’s Changing Climate Report (2019) – Chapter 5 details trends in snow, ice, and permafrost across Canada, which may offer additional insights into winter climate impacts.",n/a,,n/a,,n/a,,,,Chris Derksen,"Increased snowfall can stress building roofs, particularly flat or low-sloped structures, and may increase the need for snow load consideration in design. Additional risks include potential building access blockages and disruptions to heating and power systems due to wind-driven snow accumulation."
,Phase 1.1,,Blizzard / Winter storm,"<b> Mechanisms and Drivers </b>
Blizzards are intense winter snowstorms driven by a combination of factors: strong winds, heavy snowfall, and sub-zero temperatures. To support snowfall (rather than rain), temperatures need to remain below freezing, making blizzards a multivariate climate hazard. This hazard therefore depends on the convergence of freezing temperatures, extreme precipitation, and high wind speeds.
<b> Role of Climate Change </b>
Climate change is expected to impact blizzards and winter storms through shifts in snow and wind climate impact drivers, with varied effects depending on the location. In regions where winter temperatures are increasingly fluctuating above and below freezing, there may be a reduction in blizzard frequency, as more winter storms may manifest as rain events. However, in regions with consistently sub-zero temperatures during winter, increased winter precipitation intensity due to a warmer atmosphere could lead to more intense blizzards. This dual trend suggests an overall reduction in blizzard frequency but a potential increase in blizzard intensity for areas remaining below freezing.",General,DST,Heavy snowfall and ice storm,N/A,"Compound event (Air Temperature, Wind, Precipitation (Snow)",,Wind Speed,"This proxy measures the rate at which air moves, generally expressed in meters per second (m/s). It is a key factor in defining blizzard conditions, as high winds combined with snowfall create reduced visibility and more severe conditions.
Caution Note: Currently, there is no single, compound proxy that accurately captures all aspects of blizzards and winter storms. Wind Speed alone is a limited proxy, as it does not account for snowfall, snow accumulation, or the interaction between wind and freezing temperatures. Additionally, Wind Chill projections, which would be relevant for understanding the severity of winter storms, are currently unavailable. Given these limitations, Wind Speed data should be used with high caution in assessing future blizzard risks.",,,,,,,,,"To access climate projections for Wind Speed, refer to:
CRBCPI/DVE – Dataset may contain projections related to wind conditions.
Canada’s Changing Climate Report (2019), Chapter 7.4.1 – Provides information on marine winds and storm patterns that may be relevant for coastal and inland regions.",,,,,,,,,,"High wind speeds during blizzard conditions can increase stress on buildings, leading to potential roof and facade damage, especially if accompanied by snow accumulation. High winds can also exacerbate cold infiltration and increase heating demands during extreme winter events."
,Phase 1.1,,Blizzard / Winter storm,"<b> Mechanisms and Drivers </b>
Blizzards are intense winter snowstorms driven by a combination of factors: strong winds, heavy snowfall, and sub-zero temperatures. To support snowfall (rather than rain), temperatures need to remain below freezing, making blizzards a multivariate climate hazard. This hazard therefore depends on the convergence of freezing temperatures, extreme precipitation, and high wind speeds.
<b> Role of Climate Change </b>
Climate change is expected to impact blizzards and winter storms through shifts in snow and wind climate impact drivers, with varied effects depending on the location. In regions where winter temperatures are increasingly fluctuating above and below freezing, there may be a reduction in blizzard frequency, as more winter storms may manifest as rain events. However, in regions with consistently sub-zero temperatures during winter, increased winter precipitation intensity due to a warmer atmosphere could lead to more intense blizzards. This dual trend suggests an overall reduction in blizzard frequency but a potential increase in blizzard intensity for areas remaining below freezing.",General,DST,Heavy snowfall and ice storm,N/A,"Compound event (Air Temperature, Wind, Precipitation (Snow)",,Coldest Day,"Coldest Day represents the lowest minimum temperature (Tmin) within a specific time period.
Caution Note: As with other blizzard proxies, there is no single, comprehensive indicator that captures blizzard dynamics fully. Coldest Day is a limited proxy, as it does not consider wind or snowfall. Use this data with caution when assessing blizzard intensity or frequency under future climate conditions.",,,,,,,,,"To access future projections for Coldest Day data, consider:
ClimateData.ca – Offers various temperature projection datasets.
Canada’s Changing Climate Report (2019), Chapters 4.2 and 2.2 – Covers temperature trends and extremes, which may be useful for assessing cold-weather impacts on winter storms.",,,,,,,,,,"Reduced extreme cold days may lower winter heating demand over time, but building insulation and heating systems should still be designed to withstand potential cold spells. Buildings in colder climates may also see reduced stress on systems designed to combat extreme low temperatures."
Cary,Phase 1,Wet and Dry,Drought - Agricultural and ecological,"Mechanisms and Drivers
Drought is often defined as a temporary period of abnormally dry weather long enough to cause hydrological imbalance. It affects several components of the water cycle, including soil moisture, surface, and subsurface water levels. Droughts can also be exacerbated by increases in evapotranspiration associated with high temperatures. 

An agricultural or ecological drought event occurs when there is a deficit in soil moisture levels, and water availability. The use of “agricultural” versus “ecological” droughts is largely  dependent on the affected biome. 

The primary drivers are insufficient precipitation (or snowmelt) and high evapotranspiration. Insufficient rainfall (or snowmelt) can lead to precipitation deficits, reducing soil moisture levels and limiting water availability for crops. Elevated rates of evapotranspiration, the combined loss of water to the atmosphere through evaporation from surfaces and transpiration from plants, can deplete soil moisture rapidly.

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase agricultural and ecological drought in Canada. Shifts in the distribution, intensity, and seasonality of rainfall will alter drought dynamics. Many regions are projected to see an increase in precipitation while others are projected to see more prolonged dry periods between rainfall events. 

Rising temperatures are associated with accelerated evapotranspiration rates, meaning more loss of water to the atmosphere through evaporation from surfaces and transpiration from plants. 

Some areas, like the south prairies, will experience increased agricultural or ecological drought due to disproportionate changes in temperature relative to precipitation. Whereas areas in northern Canada will have changes in temperature more balanced by changes in precipitation.","General, Agriculture/Plants",CCCR2025,Agricultural and ecological drought,N/A,Precipitation and Potential evapotranspitation,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ","SPEI 3, 12, 24 Months","The Standardised Precipitation Evapotranspiration Index (SPEI) is a drought index based on the difference between precipitation (P) and potential evapotranspiration (PET). SPEI speaks only to relative drought, i.e., the difference between future and historical (1950-2005) conditions, and is not an absolute measure of water availability. Negative (positive) values indicate water deficit (surplus), while zero indicates no change relative to historical conditions.","The Standardised Precipitation Evapotranspiration Index (SPEI) combines the main two components of drought: precipitation and potential evapotranspiration from temperature. In areas that rely on precipitation (not snowmelt) as their main source of water, this index gives a good indication of whether or not that area will be drier than in the past. It is important to remember that this proxy is currently only available as relative SPEI. Therefore, it indicates if water deficit is higher/lower than in the past. This proxy also does not account for actual evapotranspiration, snowmelt and runoff or surface water demand (both of which are primarily driven by non-climatic factors). This proxy is also of potentially limited usefulness for northern regions, where a significant amount of water comes from snowmelt. This proxy may improve its 'proximity' over time as more watersheds become rainfall dominant.",Intensity,Good ,Medium,Low,SPEI - CMIP5,1x1° (~110x110 km),CMIP5 Standardized Precipitation Evapotranspiration Index data (canada.ca),ClimateData.ca,Currently Available,,Complete,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought","The frequency of agricultural and hydrological droughts are also projected to increase, but mainly in British Columbia and central and eastern Canada.","• Canadian Drought Monitor: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-monitor
• Canadian Drought Outlook: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-outlook
• Climate Change and Forests - Drought: https://natural-resources.canada.ca/climate-change/climate-change-impacts-forests/forest-change-indicators/drought/17772

",,,"AAFC? ECCC, Benita Tam, Barrie Bonsal, Dhouha Ouali? ",
,Phase 1,Wet and Dry,Drought - Agricultural and ecological,"Mechanisms and Drivers
Drought is often defined as a temporary period of abnormally dry weather long enough to cause hydrological imbalance. It affects several components of the water cycle, including soil moisture, surface, and subsurface water levels. Droughts can also be exacerbated by increases in evapotranspiration associated with high temperatures. 

An agricultural or ecological drought event occurs when there is a deficit in soil moisture levels, and water availability. The use of “agricultural” versus “ecological” droughts is largely  dependent on the affected biome. 

The primary drivers are insufficient precipitation (or snowmelt) and high evapotranspiration. Insufficient rainfall (or snowmelt) can lead to precipitation deficits, reducing soil moisture levels and limiting water availability for crops. Elevated rates of evapotranspiration, the combined loss of water to the atmosphere through evaporation from surfaces and transpiration from plants, can deplete soil moisture rapidly.

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase agricultural and ecological drought in Canada due to several factors such as:
•	Shifts in the distribution, intensity, and seasonality of rainfall will alter drought dynamics. Many regions are projected to see an increase in precipitation while others are projected to see more prolonged dry periods between rainfall events. 
•	Rising temperatures are associated with accelerated evapotranspiration rates, meaning more loss of water to the atmosphere through evaporation from surfaces and transpiration from plants. 

Some areas, like the south prairies, will experience increased agricultural or ecological drought due to disproportionate changes in temperature relative to precipitation. Whereas areas in northern Canada will have changes in temperature more balanced by changes in precipitation.","General, Agriculture/Plants",CCCR2025,Agricultural and ecological drought,N/A,Soil Moisture,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Surface Soil Moisture,TBC,"Soil moisture directly influences runoff and determines the exchange of water and heat energy between the land surface and the atmosphere through evaporation and plant transpiration, and influences occurrence of precipitation through the recycling of moisture. 

There are few direct measurements of soil moisture in Canada, and amounts are therefore estimated through remote sensing (e.g., with satellites) and/or modelling. The lack of an extensive monitoring network makes it difficult to make large-scale assessments of past trends. 

Future changes in soil moisture are primarily assessed using direct soil moisture output from GCMs. These changes are influenced by future precipitation and evaporation (the latter of which may be affected by changes in vegetation). However, modelled soil moisture is associated with large uncertainties, due to complexities in the representation of actual evapotranspiration, vegetation growth, and water use efficiency under enhanced atmospheric carbon dioxide concentrations.",Intensity,,Medium,Low,,1x1° (~100x100 km),CMIP6,N/A,"Research Grade (paper in prep, will be in CCCR2025 in 2026)",Bonsal et al. ,,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought","The frequency of agricultural and hydrological droughts are also projected to increase, but mainly in British Columbia and central and eastern Canada.","• Canadian Drought Monitor: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-monitor
• Canadian Drought Outlook: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-outlook
• Climate Change and Forests - Drought: https://natural-resources.canada.ca/climate-change/climate-change-impacts-forests/forest-change-indicators/drought/17772

",,,"AAFC? ECCC, Benita Tam, Barrie Bonsal, Dhouha Ouali? ",
,Phase 1,Wet and Dry,Drought - Agricultural and ecological,"Mechanisms and Drivers
Drought is often defined as a temporary period of abnormally dry weather long enough to cause hydrological imbalance. It affects several components of the water cycle, including soil moisture, surface, and subsurface water levels. Droughts can also be exacerbated by increases in evapotranspiration associated with high temperatures. 

An agricultural or ecological drought event occurs when there is a deficit in soil moisture levels, and water availability. The use of “agricultural” versus “ecological” droughts is largely  dependent on the affected biome. 

The primary drivers are insufficient precipitation (or snowmelt) and high evapotranspiration. Insufficient rainfall (or snowmelt) can lead to precipitation deficits, reducing soil moisture levels and limiting water availability for crops. Elevated rates of evapotranspiration, the combined loss of water to the atmosphere through evaporation from surfaces and transpiration from plants, can deplete soil moisture rapidly.

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase agricultural and ecological drought in Canada due to several factors such as:
•	Shifts in the distribution, intensity, and seasonality of rainfall will alter drought dynamics. Many regions are projected to see an increase in precipitation while others are projected to see more prolonged dry periods between rainfall events. 
•	Rising temperatures are associated with accelerated evapotranspiration rates, meaning more loss of water to the atmosphere through evaporation from surfaces and transpiration from plants. 

Some areas, like the south prairies, will experience increased agricultural or ecological drought due to disproportionate changes in temperature relative to precipitation. Whereas areas in northern Canada will have changes in temperature more balanced by changes in precipitation.","General, Agriculture/Plants",CCCR2025,Agricultural and ecological drought,N/A,Surface Runoff,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Surface Runoff,,"Surface runoff plays a role in the hydrological cycle, influencing groundwater recharge and maintaining the overall balance of water in an area. Disruptions in runoff patterns can lead to long-term changes in water availability and distribution.

Runoff helps maintain soil moisture levels, in drought conditions, reduced runoff can dry out soils. ",Intensity,,Medium,Low,,1x1° (~100x100 km),CMIP6,N/A,"Research Grade (paper in prep, will be in CCCR2025 in 2026)",Bonsal et al. ,,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought","The frequency of agricultural and hydrological droughts are also projected to increase, but mainly in British Columbia and central and eastern Canada.","• Canadian Drought Monitor: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-monitor
• Canadian Drought Outlook: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-outlook
• Climate Change and Forests - Drought: https://natural-resources.canada.ca/climate-change/climate-change-impacts-forests/forest-change-indicators/drought/17772

",,,"AAFC? ECCC, Benita Tam, Barrie Bonsal, Dhouha Ouali? ",
Cary,Phase 1,Wet and Dry,Drought - Aridity,"Mechanisms and Drivers
Aridity is a chronic hazard that looks at the long term, more permanent, changes in the moisture available in the climate. Aridity is driven by mean precipitation, evapotranspiration as well as potential atmospheric and surface water demand. This hazard is defined by the conditions of precipitation and evapotranspiration compared to potential atmospheric and surface water demand, resulting in low mean surface water, low soil moisture and/or low relative humidity. 

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods, and water shortages and surplusses.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase aridity in Canada. Some areas, like the south prairies, will experience increased aridity due to disproportionate changes in temperature relative to precipitation. Whereas areas in the north will have changes in temperature balanced by changes in precipitation.","General, Agriculture/Plants",,Aridity,N/A,Precipitation and Potential evapotranspitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change","SPEI 12, 24 months","The Standardised Precipitation Evapotranspiration Index (SPEI) is a drought index based on the difference between precipitation (P) and potential evapotranspiration (PET). SPEI speaks only to relative drought, i.e., the difference between future and historical (1950-2005) conditions, and is not an absolute measure of water availability. Negative (positive) values indicate water deficit (surplus), while zero indicates no change relative to historical conditions.","The Standardised Precipitation Evapotranspiration Index (SPEI) combines the main two components of drought: precipitation and potential evapotranspiration from temperature. In areas that rely on precipitation (not snowmelt) as their main source of water, this index gives a good indication of whether or not that area will be drier than in the past. It is important to remember that this proxy is currently only available as relative SPEI. Therefore, it indicates if water deficit is higher/lower than in the past. This proxy also does not account for actual evapotranspiration, snowmelt and runoff or surface water demand (both of which are primarily driven by non-climatic factors). This proxy is also of potentially limited usefulness for northern regions, where a significant amount of water comes from snowmelt. This proxy may improve its 'proximity' over time as more watersheds become rainfall dominant.",Intensity,Moderate,Medium,Low,SPEI - CMIP5,1x1° (~110x110 km),CMIP5 Standardized Precipitation Evapotranspiration Index data (canada.ca),ClimateData.ca,Currently Available,,Complete,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought",Varies by region,,,SPEI CMIP6 will be coming in the next year or so. SPEI is not easy to interpret correctly or integrate into further work,Benita Tam,
Cary,Phase 1,Wet and Dry,Drought - Aridity,"Mechanisms and Drivers
Aridity is a chronic hazard that looks at the long term, more permanent, changes in the moisture available in the climate. Aridity is driven by mean precipitation, evapotranspiration as well as potential atmospheric and surface water demand. This hazard is defined by the conditions of precipitation and evapotranspiration compared to potential atmospheric and surface water demand, resulting in low mean surface water, low soil moisture and/or low relative humidity. 

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods, and water shortages and surplusses.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase aridity in Canada. Some areas, like the south prairies, will experience increased aridity due to disproportionate changes in temperature relative to precipitation. Whereas areas in the north will have changes in temperature balanced by changes in precipitation.","General, Agriculture/Plants",,Aridity,N/A,Precipitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Winter Precipitation,The total amount of precipitation (mm) accumulated in the winter.,"More relevant in snowpack dominant watersheds but still relevant in most places. As winter precip changes, water availability over the course of the year changes.",Intensity,Moderate,Medium,Low,CanDCS-U5/U6,6x10 km,,ClimateData.ca,Currently Available,,Complete,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought",,,,,Benita Tam,
Cary,Phase 1,Wet and Dry,Drought - Hydrological ,"Mechanisms and Drivers
Drought is often defined as a temporary period of abnormally dry weather long enough to cause hydrological imbalance. It affects several components of the water cycle, including soil moisture, surface, and subsurface water levels. Droughts can also be exacerbated by increases in evapotranspiration associated with high temperatures. 

A hydrological drought occurs when runoff deficit and evaporative demand affect surface water or groundwater availability. This type of drought speaks to longer term dryness, and is characterized by reduced streamflow, groundwater levels, and water supply in rivers, lakes, reservoirs, and aquifers. It often occurs following low snow years and/or prolonged precipitation deficits. 

The role of climate change 
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Depending on the region and specific local conditions, climate change is likely to both reduce and increase hydrological drought in Canada. Shifts in the distribution, intensity, and seasonality of rainfall will alter drought dynamics. Many regions are projected to see an increase in precipitation while others are projected to see more prolonged dry periods between rainfall events.

Rising temperatures are associated with accelerated evapotranspiration rates, meaning more loss of water to the atmosphere through evaporation from surfaces and transpiration from plants.

Snowpack is projected to change in many northern and mountainous regions, where snowmelt serves as a vital source of water for downstream ecosystems, agriculture, and urban areas. Rising temperatures are causing earlier snowmelt, reduced snow accumulation, and changes in the timing and magnitude of spring freshet. However, many of these areas may see an increase in snowpack in the coming decades before a decrease later in the century. 

Changes in precipitation, temperature, and snowpack can affect freshet and runoff patterns and hydrological processes in watersheds. Alterations in the timing, magnitude, and duration of freshet and runoff events have implications for water availability. In some locations freshet will start earlier, meaning a greater need for water storage.

Some areas, like the south prairies, will experience increased hydrological drought due to disproportionate changes in temperature relative to precipitation. Whereas areas in the north will have changes in temperature balanced by changes in precipitation.
","General, Agriculture/Plants",CCCR2025,Hydrological Drought,N/A,Precipitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Total precipitation (winter),The total amount of precipitation (mm) accumulated in the winter.,"Total winter precipitation is more relevant in snowpack dominant watersheds, but still relevant in most places. As winter precipitation changes, water availability over the course of the year changes.",Intensity,Moderate,Medium,Low,CanDCS-U5/U6,6x10 km,,ClimateData.ca,Currently Available,,Complete,"Health in a Changing Climate (2022)
•	Ch 3.7 Drought
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Quebec Ch 2.9.3.3 Droughts and forest fires
•	Prairies Ch 4.3 Floods, drought and wildfires are getting worse
•	Prairies Ch 4.4 Collaborative water management reduces negative impacts
•	British Columbia Ch 5.5.1.2 Reduced water availability

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 4.2 Climate change creates risks for water resources
•	Ch 9.3.3 Freshwater agreements

Canada’s Changing Climate Report (2019)
•	Ch 4.3: Precipitation
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?
•	6.4: Soil moisture and drought","The frequency of agricultural and hydrological droughts are also projected to increase, but mainly in British Columbia and central and eastern Canada.","• Canadian Drought Monitor: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-monitor
• Canadian Drought Outlook: https://agriculture.canada.ca/en/agricultural-production/weather/canadian-drought-outlook
• Climate Change and Forests - Drought: https://natural-resources.canada.ca/climate-change/climate-change-impacts-forests/forest-change-indicators/drought/17772

",,,"AAFC? ECCC, Benita Tam, Barrie Bonsal, Dhouha Ouali? ",
